year,city,country,avg_temp
1841,Hefei,China,14.48
1842,Hefei,China,15.04
1843,Hefei,China,15.14
1844,Hefei,China,14.97
1845,Hefei,China,15.00
1846,Hefei,China,15.51
1847,Hefei,China,15.36
1848,Hefei,China,14.73
1849,Hefei,China,15.04
1850,Hefei,China,15.09
1851,Hefei,China,14.89
1852,Hefei,China,15.02
1853,Hefei,China,15.41
1854,Hefei,China,15.53
1855,Hefei,China,15.33
1856,Hefei,China,15.02
1857,Hefei,China,15.35
1858,Hefei,China,15.11
1859,Hefei,China,15.33
1860,Hefei,China,14.70
1861,Hefei,China,14.86
1862,Hefei,China,14.15
1863,Hefei,China,14.91
1864,Hefei,China,14.53
1865,Hefei,China,15.33
1866,Hefei,China,15.21
1867,Hefei,China,15.59
1868,Hefei,China,15.51
1869,Hefei,China,15.73
1870,Hefei,China,15.56
1871,Hefei,China,15.77
1872,Hefei,China,15.68
1873,Hefei,China,15.42
1874,Hefei,China,15.35
1875,Hefei,China,15.21
1876,Hefei,China,15.29
1877,Hefei,China,15.04
1878,Hefei,China,15.13
1879,Hefei,China,15.65
1880,Hefei,China,14.84
1881,Hefei,China,15.25
1882,Hefei,China,15.17
1883,Hefei,China,14.95
1884,Hefei,China,14.52
1885,Hefei,China,14.54
1886,Hefei,China,14.68
1887,Hefei,China,15.15
1888,Hefei,China,15.35
1889,Hefei,China,15.02
1890,Hefei,China,15.69
1891,Hefei,China,15.43
1892,Hefei,China,15.09
1893,Hefei,China,14.77
1894,Hefei,China,15.64
1895,Hefei,China,14.90
1896,Hefei,China,15.31
1897,Hefei,China,15.21
1898,Hefei,China,15.83
1899,Hefei,China,15.53
1900,Hefei,China,15.34
1901,Hefei,China,15.07
1902,Hefei,China,15.96
1903,Hefei,China,15.20
1904,Hefei,China,15.29
1905,Hefei,China,14.79
1906,Hefei,China,14.99
1907,Hefei,China,15.27
1908,Hefei,China,15.36
1909,Hefei,China,15.44
1910,Hefei,China,14.75
1911,Hefei,China,14.93
1912,Hefei,China,15.21
1913,Hefei,China,15.14
1914,Hefei,China,16.09
1915,Hefei,China,15.46
1916,Hefei,China,14.99
1917,Hefei,China,14.88
1918,Hefei,China,15.06
1919,Hefei,China,15.66
1920,Hefei,China,15.54
1921,Hefei,China,15.21
1922,Hefei,China,15.77
1923,Hefei,China,15.60
1924,Hefei,China,15.48
1925,Hefei,China,15.59
1926,Hefei,China,15.71
1927,Hefei,China,15.95
1928,Hefei,China,16.08
1929,Hefei,China,15.54
1930,Hefei,China,15.44
1931,Hefei,China,15.14
1932,Hefei,China,15.71
1933,Hefei,China,15.32
1934,Hefei,China,15.60
1935,Hefei,China,16.06
1936,Hefei,China,15.15
1937,Hefei,China,15.52
1938,Hefei,China,16.10
1939,Hefei,China,15.84
1940,Hefei,China,16.02
1941,Hefei,China,16.16
1942,Hefei,China,15.98
1943,Hefei,China,15.76
1944,Hefei,China,15.71
1945,Hefei,China,15.80
1946,Hefei,China,16.45
1947,Hefei,China,15.77
1948,Hefei,China,15.99
1949,Hefei,China,16.12
1950,Hefei,China,15.91
1951,Hefei,China,15.82
1952,Hefei,China,15.52
1953,Hefei,China,16.51
1954,Hefei,China,15.22
1955,Hefei,China,15.64
1956,Hefei,China,15.11
1957,Hefei,China,15.09
1958,Hefei,China,15.71
1959,Hefei,China,16.07
1960,Hefei,China,15.96
1961,Hefei,China,16.64
1962,Hefei,China,15.87
1963,Hefei,China,15.88
1964,Hefei,China,15.92
1965,Hefei,China,15.79
1966,Hefei,China,16.18
1967,Hefei,China,15.70
1968,Hefei,China,15.93
1969,Hefei,China,15.09
1970,Hefei,China,15.33
1971,Hefei,China,15.59
1972,Hefei,China,15.24
1973,Hefei,China,15.89
1974,Hefei,China,15.51
1975,Hefei,China,15.92
1976,Hefei,China,15.51
1977,Hefei,China,15.68
1978,Hefei,China,16.49
1979,Hefei,China,16.19
1980,Hefei,China,15.24
1981,Hefei,China,15.55
1982,Hefei,China,15.74
1983,Hefei,China,15.89
1984,Hefei,China,15.25
1985,Hefei,China,15.53
1986,Hefei,China,15.72
1987,Hefei,China,15.92
1988,Hefei,China,15.88
1989,Hefei,China,15.70
1990,Hefei,China,16.50
1991,Hefei,China,15.56
1992,Hefei,China,15.82
1993,Hefei,China,15.45
1994,Hefei,China,16.70
1995,Hefei,China,16.15
1996,Hefei,China,15.68
1997,Hefei,China,16.38
1998,Hefei,China,16.96
1999,Hefei,China,16.36
2000,Hefei,China,16.46
2001,Hefei,China,16.47
2002,Hefei,China,16.75
2003,Hefei,China,16.15
2004,Hefei,China,16.81
2005,Hefei,China,16.35
2006,Hefei,China,16.97
2007,Hefei,China,17.19
2008,Hefei,China,16.32
2009,Hefei,China,16.52
2010,Hefei,China,16.44
2011,Hefei,China,16.17
2012,Hefei,China,16.15
2013,Hefei,China,18.06
