year,avg_temp,
1841,7.69,
1842,8.02,
1843,8.17,7.96
1844,7.65,7.95
1845,7.85,7.89
1846,8.55,8.02
1847,8.09,8.16
1848,7.98,8.21
1849,7.98,8.02
1850,7.9,7.95
1851,8.18,8.02
1852,8.1,8.06
1853,8.04,8.11
1854,8.21,8.12
1855,8.11,8.12
1856,8,8.11
1857,7.76,7.96
1858,8.1,7.95
1859,8.25,8.04
1860,7.96,8.10
1861,7.85,8.02
1862,7.56,7.79
1863,8.11,7.84
1864,7.98,7.88
1865,8.18,8.09
1866,8.29,8.15
1867,8.44,8.30
1868,8.25,8.33
1869,8.43,8.37
1870,8.2,8.29
1871,8.12,8.25
1872,8.19,8.17
1873,8.35,8.22
1874,8.43,8.32
1875,7.86,8.21
1876,8.08,8.12
1877,8.54,8.16
1878,8.83,8.48
1879,8.17,8.51
1880,8.12,8.37
1881,8.27,8.19
1882,8.13,8.17
1883,7.98,8.13
1884,7.77,7.96
1885,7.92,7.89
1886,7.95,7.88
1887,7.91,7.93
1888,8.09,7.98
1889,8.32,8.11
1890,7.97,8.13
1891,8.02,8.10
1892,8.07,8.02
1893,8.06,8.05
1894,8.16,8.10
1895,8.15,8.12
1896,8.21,8.17
1897,8.29,8.22
1898,8.18,8.23
1899,8.4,8.29
1900,8.5,8.36
1901,8.54,8.48
1902,8.3,8.45
1903,8.22,8.35
1904,8.09,8.20
1905,8.23,8.18
1906,8.38,8.23
1907,7.95,8.19
1908,8.19,8.17
1909,8.18,8.11
1910,8.22,8.20
1911,8.18,8.19
1912,8.17,8.19
1913,8.3,8.22
1914,8.59,8.35
1915,8.59,8.49
1916,8.23,8.47
1917,8.02,8.28
1918,8.13,8.13
1919,8.38,8.18
1920,8.36,8.29
1921,8.57,8.44
1922,8.41,8.45
1923,8.42,8.47
1924,8.51,8.45
1925,8.53,8.49
1926,8.73,8.59
1927,8.52,8.59
1928,8.63,8.63
1929,8.24,8.46
1930,8.63,8.50
1931,8.72,8.53
1932,8.71,8.69
1933,8.34,8.59
1934,8.63,8.56
1935,8.52,8.50
1936,8.55,8.57
1937,8.7,8.59
1938,8.86,8.70
1939,8.76,8.77
1940,8.76,8.79
1941,8.77,8.76
1942,8.73,8.75
1943,8.76,8.75
1944,8.85,8.78
1945,8.58,8.73
1946,8.68,8.70
1947,8.8,8.69
1948,8.75,8.74
1949,8.59,8.71
1950,8.37,8.57
1951,8.63,8.53
1952,8.64,8.55
1953,8.87,8.71
1954,8.56,8.69
1955,8.63,8.69
1956,8.28,8.49
1957,8.73,8.55
1958,8.77,8.59
1959,8.73,8.74
1960,8.58,8.69
1961,8.8,8.70
1962,8.75,8.71
1963,8.86,8.80
1964,8.41,8.67
1965,8.53,8.60
1966,8.6,8.51
1967,8.7,8.61
1968,8.52,8.61
1969,8.6,8.61
1970,8.7,8.61
1971,8.6,8.63
1972,8.5,8.60
1973,8.95,8.68
1974,8.47,8.64
1975,8.74,8.72
1976,8.35,8.52
1977,8.85,8.65
1978,8.69,8.63
1979,8.73,8.76
1980,8.98,8.80
1981,9.17,8.96
1982,8.64,8.93
1983,9.03,8.95
1984,8.69,8.79
1985,8.66,8.79
1986,8.83,8.73
1987,8.99,8.83
1988,9.2,9.01
1989,8.92,9.04
1990,9.23,9.12
1991,9.18,9.11
1992,8.84,9.08
1993,8.87,8.96
1994,9.04,8.92
1995,9.35,9.09
1996,9.04,9.14
1997,9.2,9.20
1998,9.52,9.25
1999,9.29,9.34
2000,9.2,9.34
2001,9.41,9.30
2002,9.57,9.39
2003,9.53,9.50
2004,9.32,9.47
2005,9.7,9.52
2006,9.53,9.52
2007,9.73,9.65
2008,9.43,9.56
2009,9.51,9.56
2010,9.7,9.55
2011,9.52,9.58
2012,9.51,9.58
2013,9.61,9.55
